gene1	gene2	goIds1	goIds2
hsa:10941	hsa:7366	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:10941	hsa:7367	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:10941	hsa:7358	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0006065', 'GO:0034214', 'GO:0048666']
hsa:10941	hsa:10327	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0044597', 'GO:0019640', 'GO:1901687', 'GO:0044598']
hsa:10941	hsa:2990	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0005975', 'GO:0006027']
hsa:10941	hsa:7360	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0005978', 'GO:0007420', 'GO:0006011']
hsa:10941	hsa:79799	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052695']
hsa:10941	hsa:10720	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052697', 'GO:0008210', 'GO:0006805']
hsa:10941	hsa:9942	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0005975', 'GO:0005998', 'GO:0006091', 'GO:0019640', 'GO:0005997']
hsa:10941	hsa:54577	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0009804', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:10941	hsa:51084	['GO:0052695', 'GO:0008206', 'GO:0007606']	[]
hsa:10941	hsa:729020	['GO:0052695', 'GO:0008206', 'GO:0007606']	[]
hsa:10941	hsa:57016	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0044597', 'GO:0044598', 'GO:0110095', 'GO:0016488', 'GO:0001523']
hsa:10941	hsa:54600	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052696', 'GO:0051552', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:10941	hsa:729920	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0035269']
hsa:10941	hsa:7364	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0008210', 'GO:0008209', 'GO:0052695', 'GO:0006805', 'GO:0006629']
hsa:10941	hsa:54657	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052695', 'GO:0070640', 'GO:0042167', 'GO:0006789']
hsa:10941	hsa:6120	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0005975', 'GO:0006098']
hsa:10941	hsa:9365	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0030501']
hsa:10941	hsa:7363	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052695', 'GO:0008210']
hsa:10941	hsa:54578	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0052695', 'GO:0006805']
hsa:10941	hsa:7365	['GO:0052695', 'GO:0008206', 'GO:0007606']	['GO:0006629']
hsa:51181	hsa:54579	['GO:2000379', 'GO:0006006', 'GO:0005997']	[]
hsa:51181	hsa:54576	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0009804', 'GO:0042573', 'GO:0052697', 'GO:0008202', 'GO:0045922', 'GO:0006631']
hsa:51181	hsa:10941	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052695', 'GO:0008206', 'GO:0007606']
hsa:51181	hsa:54659	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']
hsa:51181	hsa:574537	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052695', 'GO:0008206']
hsa:51181	hsa:27294	['GO:2000379', 'GO:0006006', 'GO:0005997']	[]
hsa:51181	hsa:54658	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']
hsa:51181	hsa:54575	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0051552', 'GO:0052695', 'GO:0006805']
hsa:51181	hsa:6652	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']
hsa:51181	hsa:55277	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0070050', 'GO:0019321', 'GO:0046835']
hsa:51181	hsa:441282	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0006703']
hsa:51181	hsa:54490	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052697', 'GO:0008202']
hsa:51181	hsa:231	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0005975', 'GO:0044597', 'GO:0044598', 'GO:0006700', 'GO:0046370', 'GO:0071475', 'GO:0001523']
hsa:51181	hsa:7366	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:51181	hsa:7367	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:51181	hsa:7358	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0006065', 'GO:0034214', 'GO:0048666']
hsa:51181	hsa:10327	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0044597', 'GO:0019640', 'GO:1901687', 'GO:0044598']
hsa:51181	hsa:2990	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0005975', 'GO:0006027']
hsa:51181	hsa:7360	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0005978', 'GO:0007420', 'GO:0006011']
hsa:51181	hsa:79799	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052695']
hsa:51181	hsa:10720	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052697', 'GO:0008210', 'GO:0006805']
hsa:51181	hsa:9942	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0005975', 'GO:0005998', 'GO:0006091', 'GO:0019640', 'GO:0005997']
hsa:51181	hsa:54577	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0009804', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:51181	hsa:51084	['GO:2000379', 'GO:0006006', 'GO:0005997']	[]
hsa:51181	hsa:729020	['GO:2000379', 'GO:0006006', 'GO:0005997']	[]
hsa:51181	hsa:57016	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0044597', 'GO:0044598', 'GO:0110095', 'GO:0016488', 'GO:0001523']
hsa:51181	hsa:54600	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052696', 'GO:0051552', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
hsa:51181	hsa:729920	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0035269']
hsa:51181	hsa:7364	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0008210', 'GO:0008209', 'GO:0052695', 'GO:0006805', 'GO:0006629']
hsa:51181	hsa:54657	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052695', 'GO:0070640', 'GO:0042167', 'GO:0006789']
hsa:51181	hsa:6120	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0005975', 'GO:0006098']
hsa:51181	hsa:9365	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0030501']
hsa:51181	hsa:7363	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052695', 'GO:0008210']
hsa:51181	hsa:54578	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0052695', 'GO:0006805']
hsa:51181	hsa:7365	['GO:2000379', 'GO:0006006', 'GO:0005997']	['GO:0006629']
hsa:54659	hsa:54579	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	[]
hsa:54659	hsa:54576	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0009804', 'GO:0042573', 'GO:0052697', 'GO:0008202', 'GO:0045922', 'GO:0006631']
hsa:54659	hsa:10941	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052695', 'GO:0008206', 'GO:0007606']
hsa:54659	hsa:51181	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:2000379', 'GO:0006006', 'GO:0005997']
hsa:54659	hsa:574537	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052695', 'GO:0008206']
hsa:54659	hsa:27294	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	[]
hsa:54659	hsa:54658	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0045939', 'GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0046483', 'GO:0006805', 'GO:0008202', 'GO:0006789']
hsa:54659	hsa:54575	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0051552', 'GO:0052695', 'GO:0006805']
hsa:54659	hsa:6652	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0051160', 'GO:0046370', 'GO:0006006', 'GO:0051164', 'GO:0006062']
hsa:54659	hsa:55277	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0070050', 'GO:0019321', 'GO:0046835']
hsa:54659	hsa:441282	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0006703']
hsa:54659	hsa:54490	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052697', 'GO:0008202']
hsa:54659	hsa:231	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0005975', 'GO:0044597', 'GO:0044598', 'GO:0006700', 'GO:0046370', 'GO:0071475', 'GO:0001523']
hsa:54659	hsa:7366	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:54659	hsa:7367	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052695', 'GO:0008202', 'GO:0008210', 'GO:0006805']
hsa:54659	hsa:7358	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0006065', 'GO:0034214', 'GO:0048666']
hsa:54659	hsa:10327	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0044597', 'GO:0019640', 'GO:1901687', 'GO:0044598']
hsa:54659	hsa:2990	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0005975', 'GO:0006027']
hsa:54659	hsa:7360	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0005978', 'GO:0007420', 'GO:0006011']
hsa:54659	hsa:79799	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052695']
hsa:54659	hsa:10720	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052697', 'GO:0008210', 'GO:0006805']
hsa:54659	hsa:9942	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0005975', 'GO:0005998', 'GO:0006091', 'GO:0019640', 'GO:0005997']
hsa:54659	hsa:54577	['GO:0052696', 'GO:0032782', 'GO:0008210', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805', 'GO:0070640']	['GO:0052696', 'GO:0051552', 'GO:0008210', 'GO:0009804', 'GO:0042573', 'GO:0052695', 'GO:0052697', 'GO:0006805']
